,tweet_created_at,tweet_full_text,text_clean
1291,Fri Sep 07 16:25:06 +0000 2018,Done is better than perfect. — Sheryl Sandberg #quote #motivation #justdoit https://t.co/J9lLdszdW6,done better perfect sheryl sandberg quot motiv justdoit
4748,Fri Sep 07 16:24:59 +0000 2018,"Shout out to the Great Fire Department and the tour! 👨‍🚒👨‍🚒 Much love to NYC! 💯🎥🔥✊🏿
•
•
•
#hero #fdny #likesforlikes #promo #music #instagood #instadaily #postoftheday #bestoftheday #justdoit #nike #picoftheday... https://t.co/sFobQ2ukpo",shout great fire depart tour 👨‍🚒👨‍🚒 much love nyc 💯🎥🔥✊🏿 hero fdni likesforlik promo music instagood instadaili postoftheday bestoftheday justdoit nike picoftheday
3690,Fri Sep 07 16:24:50 +0000 2018,"There are some AMAZINGLY hilarious Nike Ad memes happening on my newsfeed.  Soooo, I decided to get a little creative too... 

#JustDoIt #4YourMorning #4YourMemeCollection 

🍪😂 https://t.co/6ok9qR6k6M",amazingli hilari nike ad meme happen newsfe soooo decid get littl creativ justdoit yourmorn yourmemecollect 🍪😂
4797,Fri Sep 07 16:24:44 +0000 2018,#kapernickeffect #swoosh #justdoit @ Lucas Bishop's Cigar Lounge https://t.co/BhPBnjOkuU,kapernickeffect swoosh justdoit luca bishop cigar loung
3966,Fri Sep 07 16:24:39 +0000 2018,"One Hand, One Dream: The Shaquem Griffin Story  https://t.co/0EbEmwULLF   #shaquem  #NFL #Seattle #Seahawks #griffin #JustDoIt #Nike https://t.co/pr8eosDZS7",one hand one dream shaquem griffin stori shaquem nfl seattl seahawk griffin justdoit nike
27,Fri Sep 07 16:24:35 +0000 2018,@realDonaldTrump It's time for me to stock up on some new running apparel. Nike it is! #JUSTDOIT,time stock new run apparel nike justdoit
1801,Fri Sep 07 16:24:24 +0000 2018,Why won't Trump protect our elections?  Think it over.  #RegisterToVote Vote -  #JustDoIt https://t.co/x9I3qgZDEH,trump protect elect think registertovot vote justdoit
2176,Fri Sep 07 16:24:13 +0000 2018,"@Nike good job on shaking the whole world, i see what you did there. Millions and Millions of dollars worth of free advertising. #JustDoIt",good job shake whole world see million million dollar worth free advertis justdoit
1565,Fri Sep 07 16:24:09 +0000 2018,GREAT way to meet good people...wearing your Nike gear in the park! Thanks @Nike @nikestore @Kaepernick7 #JustDoIt #TakeAKnee #TakeAKneeInNikes https://t.co/TIFLnv2puQ,great way meet good peopl wear nike gear park thank justdoit takeakne takeakneeinnik
762,Fri Sep 07 16:23:51 +0000 2018,"Lead,Trade and Succeed with ICM
Please retweet 
#FX #FeelGoodFriday #FridayFeeling #TRADERMONI #JustDoIt #FridayMotivation https://t.co/rtmVToSucq",lead trade succeed icm pleas retweet fx feelgoodfriday fridayfeel tradermoni justdoit fridaymotiv
