,count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,sentiment
6316,15,0,0,0,4,0,0,positive
6006,15,0,0,0,0,0,0,negative
13033,19,0,0,1,0,0,0,negative
2182,24,0,0,0,0,0,0,negative
2670,24,1,0,0,0,1,0,neutral
10405,14,0,0,0,0,0,0,neutral
11769,24,0,0,0,0,0,0,positive
6758,26,0,0,2,0,0,0,negative
1314,18,0,0,0,1,0,0,neutral
2677,23,2,0,0,0,0,0,negative
7499,18,0,0,0,0,0,0,neutral
6840,24,0,0,3,0,1,0,neutral
605,20,3,0,1,3,0,0,positive
10965,23,0,0,0,4,1,0,positive
1502,22,0,2,0,0,1,0,neutral
6481,27,1,0,0,0,0,0,positive
11018,24,2,0,0,0,0,0,neutral
4968,24,0,1,3,0,1,0,neutral
12275,24,1,0,0,0,0,0,positive
3555,17,3,0,0,0,0,0,neutral
10498,17,8,0,0,2,0,0,positive
6719,24,0,0,0,2,0,0,neutral
3855,25,1,0,2,3,0,0,positive
1003,30,0,0,1,0,0,0,negative
3800,21,0,2,0,0,0,0,negative
14301,25,1,0,1,1,0,0,negative
12884,19,0,0,3,0,0,0,neutral
1874,19,1,0,6,1,0,0,neutral
5185,17,1,0,0,0,0,0,neutral
3270,22,0,1,2,1,0,0,positive
13953,29,1,0,0,0,0,0,positive
12157,21,1,1,4,5,0,0,positive
13562,18,0,0,0,0,1,0,positive
4215,18,1,0,0,0,0,0,positive
11076,26,0,0,2,0,1,0,neutral
15637,14,0,0,5,2,0,0,positive
8110,24,3,0,0,0,0,0,negative
9953,15,1,0,1,1,0,0,negative
934,22,1,0,0,0,0,0,positive
1783,10,0,0,0,1,0,0,positive
10960,9,0,0,0,0,0,0,negative
14843,22,0,0,0,0,1,0,neutral
13653,25,0,1,0,2,0,0,neutral
15653,20,1,0,0,1,0,0,negative
4349,29,0,0,0,0,0,0,neutral
13613,6,0,0,1,0,0,0,positive
3797,23,1,0,0,7,0,0,positive
1839,25,0,0,0,1,0,0,positive
8865,21,0,1,0,3,1,0,positive
11252,25,1,0,0,0,0,0,positive
15380,21,0,0,2,0,0,0,negative
15019,27,0,1,2,0,0,0,neutral
6175,14,1,0,0,4,0,0,neutral
9507,15,1,0,0,1,0,0,positive
533,22,0,1,1,0,1,0,neutral
2682,11,1,0,0,2,0,0,positive
11559,28,0,0,0,1,0,0,positive
8389,18,2,0,0,0,0,0,positive
5165,16,1,1,0,0,0,0,neutral
1769,24,0,0,0,0,0,0,neutral
982,23,0,0,0,1,0,0,neutral
14341,22,0,1,0,0,1,0,negative
2399,17,0,0,0,1,0,0,positive
6479,29,0,0,0,0,0,0,positive
9569,22,0,0,1,0,0,0,positive
